"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","52","В боковом меню 6 общих ссылок работают При клике на ""Решения Банка России"" переходит на cbr.ru/rbr","","Sat Dec 14 21:22:21 GMT 2024","broken","Sat Dec 14 21:22:21 GMT 2024","","Проверка бокового меню","ru.cbr.tests.OffsetMenuTests","offsetMenuQuickLinksTest"
"","58","Проверка номеров телефонов в футере Телефон 300 есть","","Sat Dec 14 21:22:21 GMT 2024","broken","Sat Dec 14 21:22:21 GMT 2024","","Проверка футера сайта (нижний блок)","ru.cbr.tests.FooterBlockTests","footerPhoneNumberTest"
"","51","Поиск по региону организаций типа ""Микрофинансовые организации"" со статусом ""Действует"" , по региону ""Ярославская область"" должен показать не пустой список","","Sat Dec 14 21:22:20 GMT 2024","broken","Sat Dec 14 21:22:20 GMT 2024","","Поиск организаций, участников финансового рынка","ru.cbr.tests.FinOrgTests","searchFinOrgWithFilterByRegionTest"
"","28","Поиск организаций типа ""Бюро кредитных историй"" со статусом вида деятельности ""Не действует"" должен показать не пустой список","","Sat Dec 14 21:22:21 GMT 2024","broken","Sat Dec 14 21:22:21 GMT 2024","","Поиск организаций, участников финансового рынка","ru.cbr.tests.FinOrgTests","searchFinOrgWithFilterByStatusTest"
"","17","Поиск организаций по неполному названию Запрос ""Альфа-Банк"" должен найти компанию АО ""АЛЬФА-БАНК"" (ИНН/ОГРН 7728168971/1027700067328). Статус - Действует","","Sat Dec 14 21:22:21 GMT 2024","broken","Sat Dec 14 21:22:21 GMT 2024","","Поиск организаций, участников финансового рынка","ru.cbr.tests.FinOrgTests","checkByPartialNameOfTheOrganizationTest"
"","39","В боковом меню 6 общих ссылок работают При клике на ""О сайте"" переходит на cbr.ru/about","","Sat Dec 14 21:22:21 GMT 2024","broken","Sat Dec 14 21:22:21 GMT 2024","","Проверка бокового меню","ru.cbr.tests.OffsetMenuTests","offsetMenuQuickLinksTest"
"","36","Быстрый поиск на главной странице","","Sat Dec 14 21:22:21 GMT 2024","broken","Sat Dec 14 21:22:21 GMT 2024","","Проверка шапки сайта (верхний блок)","ru.cbr.tests.HeaderBlockTests","quickSearchTest"
"","428","Поиск по региону организаций типа ""Микрофинансовые организации"" со статусом ""Действует"" , по региону ""Алтайский край"" должен показать не пустой список","","Sat Dec 14 21:22:20 GMT 2024","broken","Sat Dec 14 21:22:20 GMT 2024","","Поиск организаций, участников финансового рынка","ru.cbr.tests.FinOrgTests","searchFinOrgWithFilterByRegionTest"
"","28","Поиск по региону организаций типа ""Микрофинансовые организации"" со статусом ""Действует"" , по региону ""город Москва"" должен показать не пустой список","","Sat Dec 14 21:22:20 GMT 2024","broken","Sat Dec 14 21:22:20 GMT 2024","","Поиск организаций, участников финансового рынка","ru.cbr.tests.FinOrgTests","searchFinOrgWithFilterByRegionTest"
"","17","В боковом меню 6 общих ссылок работают При клике на ""Контактная информация"" переходит на cbr.ru/contacts","","Sat Dec 14 21:22:21 GMT 2024","broken","Sat Dec 14 21:22:21 GMT 2024","","Проверка бокового меню","ru.cbr.tests.OffsetMenuTests","offsetMenuQuickLinksTest"
"","16","Проверка номеров телефонов в футере Телефон +7 499 300-30-00 есть","","Sat Dec 14 21:22:21 GMT 2024","broken","Sat Dec 14 21:22:21 GMT 2024","","Проверка футера сайта (нижний блок)","ru.cbr.tests.FooterBlockTests","footerPhoneNumberTest"
"","41","Логотип кликабельный","","Sat Dec 14 21:22:21 GMT 2024","broken","Sat Dec 14 21:22:21 GMT 2024","","Проверка шапки сайта (верхний блок)","ru.cbr.tests.HeaderBlockTests","checkClickableLogoTest"
"","21","Поиск организаций по неполному названию Запрос ""Петрокоммерц"" должен найти компанию ОАО Банк ""Петрокоммерц"" (ИНН/ОГРН 7707284568/1027739340584). Статус - Не действует","","Sat Dec 14 21:22:21 GMT 2024","broken","Sat Dec 14 21:22:21 GMT 2024","","Поиск организаций, участников финансового рынка","ru.cbr.tests.FinOrgTests","checkByPartialNameOfTheOrganizationTest"
"","20","Поиск организаций типа ""Бюро кредитных историй"" со статусом вида деятельности ""Действует"" должен показать не пустой список","","Sat Dec 14 21:22:21 GMT 2024","broken","Sat Dec 14 21:22:21 GMT 2024","","Поиск организаций, участников финансового рынка","ru.cbr.tests.FinOrgTests","searchFinOrgWithFilterByStatusTest"
"","26","В боковом меню 6 общих ссылок работают При клике на ""Меры защиты финансового рынка"" переходит на cbr.ru/support_measures","","Sat Dec 14 21:22:21 GMT 2024","broken","Sat Dec 14 21:22:21 GMT 2024","","Проверка бокового меню","ru.cbr.tests.OffsetMenuTests","offsetMenuQuickLinksTest"
"","35","В боковом меню 6 общих ссылок работают При клике на ""Новости"" переходит на cbr.ru/news","","Sat Dec 14 21:22:21 GMT 2024","broken","Sat Dec 14 21:22:21 GMT 2024","","Проверка бокового меню","ru.cbr.tests.OffsetMenuTests","offsetMenuQuickLinksTest"
"","27","Поиск по региону организаций типа ""Микрофинансовые организации"" со статусом ""Действует"" , по региону ""Ненецкий автономный округ"" должен показать не пустой список","","Sat Dec 14 21:22:20 GMT 2024","broken","Sat Dec 14 21:22:20 GMT 2024","","Поиск организаций, участников финансового рынка","ru.cbr.tests.FinOrgTests","searchFinOrgWithFilterByRegionTest"
"","42","В боковом меню 6 общих ссылок работают При клике на ""Карта сайта"" переходит на cbr.ru/sitemap","","Sat Dec 14 21:22:21 GMT 2024","broken","Sat Dec 14 21:22:21 GMT 2024","","Проверка бокового меню","ru.cbr.tests.OffsetMenuTests","offsetMenuQuickLinksTest"
"","31","Поиск организаций типа ""Бюро кредитных историй"" со статусом вида деятельности ""Все"" должен показать не пустой список","","Sat Dec 14 21:22:21 GMT 2024","broken","Sat Dec 14 21:22:21 GMT 2024","","Поиск организаций, участников финансового рынка","ru.cbr.tests.FinOrgTests","searchFinOrgWithFilterByStatusTest"
