"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","24","Поиск организаций по неполному названию Запрос ""Петрокоммерц"" должен найти компанию ОАО Банк ""Петрокоммерц"" (ИНН/ОГРН 7707284568/1027739340584). Статус - Не действует","","Sun Dec 01 15:24:45 GMT 2024","broken","Sun Dec 01 15:24:45 GMT 2024","","Поиск организаций, участников финансового рынка","ru.cbr.tests.FinOrgTests","checkByPartialNameOfTheOrganizationTest"
"","20","Проверка номеров телефонов в футере Телефон +7 499 300-30-00 есть","","Sun Dec 01 15:24:45 GMT 2024","broken","Sun Dec 01 15:24:45 GMT 2024","","Проверка футера сайта (нижний блок)","ru.cbr.tests.FooterBlockTests","footerPhoneNumberTest"
"","27","Поиск по региону организаций типа ""Микрофинансовые организации"" со статусом ""Действует"" По региону ""город Санкт-Петербург"" должен показать не пустой список","","Sun Dec 01 15:24:44 GMT 2024","broken","Sun Dec 01 15:24:44 GMT 2024","","Поиск организаций, участников финансового рынка","ru.cbr.tests.FinOrgTests","searchFinOrgWithFilterByRegionTest"
"","37","Поиск по региону организаций типа ""Микрофинансовые организации"" со статусом ""Действует"" По региону ""город Москва"" должен показать не пустой список","","Sun Dec 01 15:24:44 GMT 2024","broken","Sun Dec 01 15:24:44 GMT 2024","","Поиск организаций, участников финансового рынка","ru.cbr.tests.FinOrgTests","searchFinOrgWithFilterByRegionTest"
"","24","Поиск организаций типа ""Бюро кредитных историй"" со статусом вида деятельности Со статусом вида деятельности ""Все"" должен показать не пустой список","","Sun Dec 01 15:24:45 GMT 2024","broken","Sun Dec 01 15:24:45 GMT 2024","","Поиск организаций, участников финансового рынка","ru.cbr.tests.FinOrgTests","searchFinOrgWithFilterByStatusTest"
"","13","Логотип кликабельный","","Sun Dec 01 15:24:45 GMT 2024","broken","Sun Dec 01 15:24:45 GMT 2024","","Проверка шапки сайта (верхний блок)","ru.cbr.tests.HeaderBlockTests","checkClickableLogoTest"
"","12","Поиск организаций типа ""Бюро кредитных историй"" со статусом вида деятельности Со статусом вида деятельности ""Не действует"" должен показать не пустой список","","Sun Dec 01 15:24:45 GMT 2024","broken","Sun Dec 01 15:24:45 GMT 2024","","Поиск организаций, участников финансового рынка","ru.cbr.tests.FinOrgTests","searchFinOrgWithFilterByStatusTest"
"","37","В боковом меню 6 общих ссылок работают При клике на""Контактная информация"" переходит на cbr.ru/contacts","","Sun Dec 01 15:24:45 GMT 2024","broken","Sun Dec 01 15:24:45 GMT 2024","","Проверка бокового меню","ru.cbr.tests.OffsetMenuTests","offsetMenuQuickLinksTest"
"","16","В боковом меню 6 общих ссылок работают При клике на""Меры защиты финансового рынка"" переходит на cbr.ru/support_measures","","Sun Dec 01 15:24:45 GMT 2024","broken","Sun Dec 01 15:24:45 GMT 2024","","Проверка бокового меню","ru.cbr.tests.OffsetMenuTests","offsetMenuQuickLinksTest"
"","16","Быстрый поиск на главной странице","","Sun Dec 01 15:24:45 GMT 2024","broken","Sun Dec 01 15:24:45 GMT 2024","","Проверка шапки сайта (верхний блок)","ru.cbr.tests.HeaderBlockTests","quickSearchTest"
